"variable","class","missing_n","missing_pct"
"LBDSTBLC","numeric",6085,39.1
"LBXSCA","numeric",6843,44
"LBDSCASI","numeric",6087,39.1
"LBXSCH","numeric",6091,39.1
"LBDSCHSI","numeric",6085,39.1
"LBXSTP","numeric",6913,44.4
"LBDSTPSI","numeric",6492,41.7
"LBXSTR","numeric",6230,40
"LBDSTRSI","numeric",6087,39.1
"LBXSUA","numeric",6223,40
"LBDSUASI","numeric",6087,39.1
"DIQ010","numeric",582,3.7
"DID040","numeric",14141,90.9
"DIQ160","numeric",15560,100
"DIQ180","numeric",15284,98.2
"DIQ050","numeric",14116,90.7
"DID060","numeric",15162,97.4
"DIQ060U","numeric",15142,97.3
"DIQ070","numeric",12886,82.8
"DIQ230","numeric",14130,90.8
"DIQ240","numeric",14119,90.7
"DID250","numeric",14473,93
"DID260","numeric",14135,90.8
"DIQ260U","numeric",14425,92.7
"DIQ275","numeric",14162,91
"DIQ280","numeric",14824,95.3
"DIQ291","numeric",14485,93.1
"DIQ300S","numeric",14573,93.7
"DIQ300D","numeric",14625,94
"DID310S","numeric",14448,92.9
"DID310D","numeric",14483,93.1
"DID320","numeric",15254,98
"DID330","numeric",14985,96.3
"DID341","numeric",14156,91
"DID350","numeric",14148,90.9
"DIQ350U","numeric",14394,92.5
"DIQ360","numeric",14141,90.9
"DIQ080","numeric",14138,90.9
"MCQ010","numeric",591,3.8
"MCQ025","numeric",13401,86.1
"MCQ035","numeric",13287,85.4
"MCQ040","numeric",14141,90.9
"MCQ050","numeric",14137,90.9
"AGQ030","numeric",8952,57.5
"MCQ053","numeric",599,3.8
"MCQ080","numeric",5381,34.6
"MCQ092","numeric",2474,15.9
"MCD093","numeric",14473,93
"MCQ149","numeric",14876,95.6
"MCQ151","numeric",15477,99.5
"RHD018","numeric",15484,99.5
"MCQ160A","numeric",6354,40.8
"MCQ195","numeric",13443,86.4
"MCQ160B","numeric",6351,40.8
"MCD180B","numeric",15200,97.7
"MCQ160C","numeric",6356,40.8
"MCD180C","numeric",15138,97.3
"MCQ160D","numeric",6369,40.9
"MCD180D","numeric",15321,98.5
"MCQ160E","numeric",6342,40.8
"MCD180E","numeric",15130,97.2
"MCQ160F","numeric",6344,40.8
"MCD180F","numeric",15082,96.9
"MCQ160M","numeric",6348,40.8
"MCQ170M","numeric",14521,93.3
"MCD180M","numeric",14485,93.1
"MCQ160P","numeric",6347,40.8
"MCQ160L","numeric",6347,40.8
"MCQ170L","numeric",15149,97.4
"MCD180L","numeric",15100,97
"MCQ500","numeric",13560,87.1
"MCQ510A","numeric",15356,98.7
"MCQ510B","numeric",15550,99.9
"MCQ510C","numeric",15526,99.8
"MCQ510D","numeric",15479,99.5
"MCQ510E","numeric",15540,99.9
"MCQ510F","numeric",15442,99.2
"MCQ520","numeric",6338,40.7
"MCQ530","numeric",13533,87
"MCQ540","numeric",13527,86.9
"MCQ550","numeric",6350,40.8
"MCQ560","numeric",6332,40.7
"MCQ570","numeric",14540,93.4
"MCQ220","numeric",6332,40.7
"MCQ230A","numeric",14576,93.7
"MCQ230B","numeric",15445,99.3
"MCQ230C","numeric",15540,99.9
"MCQ230D","numeric",15556,100
"MCQ300B","numeric",2587,16.6
"MCQ300C","numeric",6461,41.5
"MCQ300A","numeric",6545,42.1
"MCQ366A","numeric",5370,34.5
"MCQ366B","numeric",5369,34.5
"MCQ366C","numeric",5375,34.5
"MCQ366D","numeric",5376,34.6
"MCQ371A","numeric",5375,34.5
"MCQ371B","numeric",5369,34.5
"MCQ371C","numeric",5372,34.5
"MCQ371D","numeric",5376,34.6
"OSQ230","numeric",9173,59
"is_adult","numeric",0,0
"is_non_pregnant_adult","numeric",0,0
"current_smoker","numeric",8123,52.2
"former_smoker","numeric",7633,49.1
"never_smoker","numeric",5953,38.3
"smoking_status","factor",5953,38.3
"smoking_pack_years","numeric",11735,75.4
"alcohol_drinker","numeric",9802,63
"heavy_drinker","numeric",9802,63
"binge_drinker","numeric",8125,52.2
"sdmvpsu","integer",0,0
"sdmvstra","integer",0,0
"bmi_continuous","numeric",2434,15.6
"bmi_category","factor",6850,44
"obesity","numeric",5948,38.2
"waist_circumference","numeric",3542,22.8
"systolic_bp","numeric",5377,34.6
"diastolic_bp","numeric",5533,35.6
"hypertension","numeric",5948,38.2
"diabetes","numeric",5953,38.3
"high_cholesterol_dx","numeric",6012,38.6
"any_cvd","numeric",5948,38.2
"coronary_heart_disease","numeric",6435,41.4
"heart_failure","numeric",6423,41.3
"stroke","numeric",6425,41.3
"heart_attack","numeric",6432,41.3
"pulse_rate","numeric",6354,40.8
"hdl_cholesterol","logical",15560,100
"low_hdl","logical",15560,100
"crp","numeric",4157,26.7
"high_crp","numeric",7565,48.6
"crp_category","factor",7565,48.6
"A_layer_score","numeric",5948,38.2
"age","numeric",730,4.7
"gender","factor",0,0
"race_ethnicity","factor",1019,6.5
"education_level","factor",6424,41.3
"education_college","numeric",6424,41.3
"marital_status","factor",6419,41.3
"married","numeric",6419,41.3
"employment_status","factor",15560,100
"employed","logical",15560,100
"poverty_ratio","numeric",2201,14.1
"below_poverty","numeric",0,0
"self_rated_health","factor",5958,38.3
"poor_self_rated_health","numeric",5958,38.3
"phq9_total","numeric",6381,41
"depression","numeric",5948,38.2
"diet_special","logical",15560,100
"diet_weight_loss","numeric",14848,95.4
"diet_rigidity_score","logical",15560,100
"sugar_intake_g","numeric",7530,48.4
"total_calories","numeric",7532,48.4
"wtdrd1","logical",15560,100
"sleep_adequate","numeric",0,0
"pa_total_min_week","numeric",8672,55.7
"pa_meets_guideline","numeric",0,0
"wtmecprp","numeric",1260,8.1
"wtintprp","numeric",0,0
"target_population","numeric",730,4.7
"in_analysis","numeric",0,0
"diabetes_doctor","numeric",866,5.6
"hypertension_doctor","numeric",12281,78.9
"high_cholesterol_doctor","numeric",5433,34.9
"hs_crp_mgl","numeric",4157,26.7
"high_hs_crp","numeric",4157,26.7
"white_blood_cells_x10e9_l","numeric",3762,24.2
"nlr_ratio","numeric",3413,21.9
"high_nlr","numeric",3413,21.9
"egfr_ckdepi_2021","numeric",6152,39.5
"ckd_flag","numeric",0,0
"alt_ui_l","numeric",15560,100
