"variable","class","missing_n","missing_pct"
"anxiety_symptom","numeric",6492,54.4
"depressive_symptom","numeric",6483,54.3
"H1_A","numeric",3905,32.7
"H2_A","numeric",3905,32.7
"H3_A","numeric",3905,32.7
"HCF_A_raw","numeric",3905,32.7
"HCF_A","numeric",3905,32.7
"H1_B","numeric",3905,32.7
"H2_B","numeric",3905,32.7
"H3_B","numeric",3905,32.7
"HCF_B_raw","numeric",3905,32.7
"HCF_B","numeric",3905,32.7
"H1_C","numeric",3905,32.7
"H2_C","numeric",3905,32.7
"H3_C","numeric",3905,32.7
"HCF_C_raw","numeric",3905,32.7
"HCF_C","numeric",3905,32.7
"H1_D","numeric",3905,32.7
"H2_D","numeric",3905,32.7
"H3_D","numeric",3905,32.7
"HCF_D_raw","numeric",3905,32.7
"HCF_D","numeric",3905,32.7
"HCF_type","factor",3905,32.7
"is_mixed","numeric",3905,32.7
"age_group","factor",3905,32.7
"rate_pressure_product","numeric",6152,51.6
"diabetes_diagnosed","numeric",3910,32.8
"leg_height_ratio","numeric",6105,51.2
"dpq010_clean","numeric",3905,32.7
"smoking_clean","numeric",3905,32.7
"drinking_clean","numeric",3905,32.7
"dpq010_z","numeric",3905,32.7
"smoking_z","numeric",3905,32.7
"drinking_z","numeric",3905,32.7
"avoidance_z","numeric",3905,32.7
"dpq090_clean","numeric",3905,32.7
"diet_clean","numeric",3905,32.7
"dpq090_z","numeric",3905,32.7
"diet_z","numeric",3905,32.7
"perseveration_z","numeric",3905,32.7
"hr_clean","numeric",6090,51
"hyperactivation_z","numeric",6090,51
"exhaustion_clean","numeric",3905,32.7
"exhaustion_z","numeric",3905,32.7
"pathway_cluster","integer",6090,51
"pathway_cluster_name","character",6090,51
"antihypertensive_med","numeric",8968,75.2
"antidiabetic_med","numeric",9659,80.9
"analysis_weight","numeric",0,0
"weight_source","character",0,0
"age_group_std","character",3864,32.4
